Building ID,Owner ID,zip_code,neighborhood,block,address,building_class_category,tax_class,building_class,year_built,LandUse
6356,O305777,11212,BROWNSVILLE,3677,1690 EAST NEW YORK AVENUE,31 COMMERCIAL VACANT LAND,4,V1,0,11
6357,O157082,11231,CARROLL GARDENS,422,412 DE GRAW STREET,03 THREE FAMILY HOMES,1,C0,1899,2
6358,O331467,11231,COBBLE HILL-WEST,336,146 SACKETT STREET,03 THREE FAMILY HOMES,1,C0,1899,2
6359,O19859,11225,CROWN HEIGHTS,1187,998 UNION STREET,02 TWO FAMILY HOMES,1,B1,1910,1
6360,O318411,11229,MADISON,6790,1662 EAST 28TH   STREET,01 ONE FAMILY HOMES,1,A1,1930,1
6361,O280769,11215,PARK SLOPE,1101,459 14TH   STREET,03 THREE FAMILY HOMES,1,C0,1901,2
6362,O144819,11215,PARK SLOPE SOUTH,1011,421 10TH STREET,02 TWO FAMILY HOMES,1,B1,1901,1
6363,O194357,11211,WILLIAMSBURG-EAST,2916,223 DEVOE STREET,07 RENTALS - WALKUP APARTMENTS,2A,C2,1920,2
6364,O255951,11211,WILLIAMSBURG-NORTH,2340,1 NORTH PIER,13 CONDOS - ELEVATOR APARTMENTS,2,R4,0,NA
6365,O268060,11206,WILLIAMSBURG-EAST,3056,260 MESEROLE STREET,27  FACTORIES,4,F4,1900,6
6366,O82436,11231,COBBLE HILL,324,370 CLINTON STREET,07  RENTALS - WALKUP APARTMENTS,1,A4,1900,NA
6367,O255950,11215,SUNSET PARK,630,148 17TH   STREET,07  RENTALS - WALKUP APARTMENTS,2,C1,1910,2
6368,O381328,11231,RED HOOK,488,572 COURT STREET,27  FACTORIES,4,F9,1931,6
6369,O368144,11215,PARK SLOPE,959,226 SIXTH AVENUE,03 THREE FAMILY HOMES,1,C0,1901,2
6370,O206353,11215,GOWANUS,447,463 CARROLL STREET,01 ONE FAMILY HOMES,1,A5,1899,1
6371,O280741,11211,WILLIAMSBURG-SOUTH,2132,138 BROADWAY,13 CONDOS - ELEVATOR APARTMENTS,2,R4,0,NA
6372,O45151,11217,BOERUM HILL,185,465 PACIFIC STREET,13 CONDOS - ELEVATOR APARTMENTS,2,R4,2016,NA
6373,O331475,11201,BOERUM HILL,181,253 PACIFIC STREET,04  TAX CLASS 1 CONDOS,1C,R6,2011,NA
6374,O32939,11201,DOWNTOWN-FULTON FERRY,32,37 BRIDGE STREET,13  CONDOS - ELEVATOR APARTMENTS,2,R4,1916,NA
6375,O355868,0,PARK SLOPE,1095,160 PROSPECT PARK WEST,15  CONDOS - 2-10 UNIT RESIDENTIAL,,,0,NA
6376,O44811,11201,DOWNTOWN-FULTON MALL,170,265 STATE STREET,13 CONDOS - ELEVATOR APARTMENTS,2,R4,2014,NA
6377,O394033,11201,DOWNTOWN-FULTON MALL,170,265 STATE STREET,13 CONDOS - ELEVATOR APARTMENTS,2,R4,2014,NA
6378,O367769,11222,GREENPOINT,2680,533 LEONARD STREET,04 TAX CLASS 1 CONDOS,1A,R3,1931,NA
6379,O206348,11231,COBBLE HILL,326,37 TOMPKINS PLACE,15  CONDOS - 2-10 UNIT RESIDENTIAL,2C,R1,0,NA
6380,O106841,11201,BROOKLYN HEIGHTS,199,90 FURMAN STREET,13 CONDOS - ELEVATOR APARTMENTS,2,R4,2015,NA
6381,O82125,11201,DOWNTOWN-FULTON FERRY,31,51 JAY STREET,13 CONDOS - ELEVATOR APARTMENTS,2,R4,1905,NA
6382,O107207,11238,PROSPECT HEIGHTS,1159,268 PROSPECT PLACE,01 ONE FAMILY HOMES,1,A4,1910,1
6383,O318068,11249,WILLIAMSBURG-NORTH,2340,2 NORTHSIDE PIERS,13  CONDOS - ELEVATOR APARTMENTS,2,R4,0,NA
6384,O32584,11225,FLATBUSH-LEFFERTS GARDEN,5026,207 OCEAN AVENUE,03 THREE FAMILY HOMES,1,C0,1901,2
6385,O293765,11217,BOERUM HILL,190,112 NEVINS STREET,01 ONE FAMILY HOMES,1,A9,1920,1
6386,O206690,11201,DOWNTOWN-FULTON FERRY,41,200 WATER STREET,13 CONDOS - ELEVATOR APARTMENTS,2,R4,1951,NA
6387,O219265,11206,WILLIAMSBURG-EAST,3042,99 MESEROLE STREET,07  RENTALS - WALKUP APARTMENTS,2A,C2,1931,2
6388,O206693,11201,DOWNTOWN-FULTON FERRY,41,200 WATER STREET,13 CONDOS - ELEVATOR APARTMENTS,2,R4,1951,NA
6389,O318447,11238,CLINTON HILL,1946,357 WASHINGTON AVENUE,01 ONE FAMILY HOMES,1,A5,1899,1
6390,O95062,11231,GOWANUS,444,337 CARROLL STREET,13  CONDOS - ELEVATOR APARTMENTS,,,0,NA
6391,O305817,11217,PARK SLOPE,1064,276 BERKELEY PLACE,01 ONE FAMILY HOMES,1,A4,1899,1
6392,O355539,11217,BOERUM HILL,190,201 DEAN STREET,07  RENTALS - WALKUP APARTMENTS,2A,C3,1915,2
6393,O206695,11234,OLD MILL BASIN,7902,5702 AVENUE N,21 OFFICE BUILDINGS,4,O7,1964,5
6394,O381351,11211,WILLIAMSBURG-EAST,2760,190 CONSELYEA STREET,30  WAREHOUSES,,,0,NA
6395,O318065,11201,BROOKLYN HEIGHTS,243,"114 PIERREPONT STREET, 2                 ",09  COOPS - WALKUP APARTMENTS,2C,C6,1900,2
6396,O206702,11230,FLATBUSH-CENTRAL,5200,543 RUGBY ROAD,02 TWO FAMILY HOMES,1,B2,1905,1
6397,O305825,11230,OCEAN PARKWAY-NORTH,6568,1396 OCEAN PARKWAY,01 ONE FAMILY HOMES,1,A3,1930,1
6398,O106828,11220,SUNSET PARK,5821,714-720 64TH STREET,29  COMMERCIAL GARAGES,4,G2,1972,10
6399,O318056,11225,FLATBUSH-LEFFERTS GARDEN,5043,174 FENIMORE STREET,21 OFFICE BUILDINGS,4,O7,1905,5
6400,O181779,11211,WILLIAMSBURG-NORTH,2375,450 KEAP ST,30  WAREHOUSES,4,E9,1990,6
6401,O331103,11231,CARROLL GARDENS,415,377 DE GRAW STREET,03 THREE FAMILY HOMES,1,C0,1899,2
6402,O44792,11217,FORT GREENE,2101,51 SOUTH OXFORD STREET,02 TWO FAMILY HOMES,1,B1,1899,1
6403,O156773,11201,COBBLE HILL,286,185-187 PACIFIC STREET,44  CONDO PARKING,4,RG,1957,NA
6404,O381362,11225,FLATBUSH-LEFFERTS GARDEN,5037,68 RUTLAND ROAD,01 ONE FAMILY HOMES,1,A4,1910,1
6405,O343435,11205,FORT GREENE,2045,90 CLERMONT AVENUE,08  RENTALS - ELEVATOR APARTMENTS,2B,D1,2005,3
6406,O132981,11201,BROOKLYN HEIGHTS,234,"1 PIERREPONT STREET, 7B                  ",10  COOPS - ELEVATOR APARTMENTS,2,D4,1924,3
6407,O331493,11201,DOWNTOWN-FULTON FERRY,53,100 JAY STREET,13  CONDOS - ELEVATOR APARTMENTS,2,R4,0,NA
6408,O355532,11215,PARK SLOPE,1080,489 4TH STREET,03 THREE FAMILY HOMES,1,C0,1899,2
6409,O44785,11238,CLINTON HILL,1984,71 IRVING PLACE,03 THREE FAMILY HOMES,1,C0,1899,2
6410,O44784,11213,CROWN HEIGHTS,1235,922 PROSPECT PLACE,07  RENTALS - WALKUP APARTMENTS,2B,C1,1905,2
6411,O144529,11230,OCEAN PARKWAY-NORTH,6529,1078 EAST 9TH   STREET,01 ONE FAMILY HOMES,1,A1,1925,1
6412,O144843,11201,DOWNTOWN-FULTON FERRY,32,37 BRIDGE STREET,13  CONDOS - ELEVATOR APARTMENTS,2,R4,1916,NA
6413,O293798,11218,FLATBUSH-CENTRAL,5116,1216 ALBEMARLE ROAD,01 ONE FAMILY HOMES,1,A1,1960,1
6414,O243718,11215,PARK SLOPE,988,381 6TH STREET,02 TWO FAMILY HOMES,1,B3,1901,1
6415,O69051,11249,WILLIAMSBURG-NORTH,2340,2 NORTHSIDE PIERS,13  CONDOS - ELEVATOR APARTMENTS,2,R4,0,NA
6416,O293332,11201,BROOKLYN HEIGHTS,235,"35 PIERREPONT STREET, 2A/2D              ",10  COOPS - ELEVATOR APARTMENTS,2,D4,1929,3
6417,O144846,11215,PARK SLOPE,998,314 7 STREET,01 ONE FAMILY HOMES,1,S1,1899,4
6418,O57521,11216,BEDFORD STUYVESANT,1986,294 GATES AVENUE,03 THREE FAMILY HOMES,1,C0,1899,2
6419,O256266,11231,COBBLE HILL,323,58 STRONG PLACE,13 CONDOS - ELEVATOR APARTMENTS,2,R4,1900,NA
6420,O144858,11217,PARK SLOPE,939,"127 PARK PLACE, 2",09 COOPS - WALKUP APARTMENTS,2C,C6,1921,2
6421,O331098,11201,BROOKLYN HEIGHTS,263,52 SIDNEY PLACE,07  RENTALS - WALKUP APARTMENTS,1,A4,1910,1
6422,O57537,11226,FLATBUSH-CENTRAL,5206,2011 NEWKIRK AVENUE,07  RENTALS - WALKUP APARTMENTS,2,C1,1922,2
